W[GeV],Theta[deg],dsigma[nb]
4.036,0.047495,0.0036532
4.036,0.10875,0.0036532
4.036,0.16974,0.0036532
4.036,0.22981,0.0036532
4.036,0.28857,0.0036532
4.036,0.34565,0.0036532
4.036,0.40072,0.0036532
4.036,0.45343,0.0036532
4.036,0.50349,0.0036532
4.036,0.5506,0.0036532
4.036,0.59448,0.0036532
4.036,0.63487,0.0036532
4.036,0.67154,0.0036532
4.036,0.70427,0.0036532
4.036,0.73287,0.0036532
4.036,0.75716,0.0036532
4.036,0.77702,0.0036532
4.036,0.79231,0.0036532
4.036,0.80296,0.0036532
4.036,0.8089,0.0036532
4.036,0.82272,0.0036532
4.036,0.87351,0.0036532
4.036,0.95702,0.0036532
4.036,1.0639,0.0036532
4.036,1.1858,0.0036532
4.036,1.316,0.0036532
4.036,1.4498,0.0036532
4.036,1.5834,0.0036532
4.036,1.7141,0.0036532
4.036,1.8399,0.0036532
4.036,1.959,0.0036532
4.036,2.0699,0.0036531
4.036,2.1716,0.0036531
4.036,2.263,0.0036531
4.036,2.3433,0.0036531
4.036,2.4118,0.0036531
4.036,2.468,0.0036531
4.036,2.5114,0.0036531
4.036,2.5417,0.0036531
4.036,2.5586,0.0036531
4.036,2.6019,0.0036531
4.036,2.7625,0.0036531
4.036,3.0267,0.003653
4.036,3.3648,0.003653
4.036,3.7504,0.0036529
4.036,4.1625,0.0036529
4.036,4.5857,0.0036528
4.036,5.0085,0.0036527
4.036,5.4224,0.0036526
4.036,5.8206,0.0036525
4.036,6.1975,0.0036524
4.036,6.5489,0.0036523
4.036,6.8708,0.0036522
4.036,7.1604,0.0036521
4.036,7.4148,0.003652
4.036,7.632,0.0036519
4.036,7.8101,0.0036519
4.036,7.9476,0.0036518
4.036,8.0435,0.0036518
4.036,8.097,0.0036518
4.036,8.2342,0.0036517
4.036,8.7435,0.0036515
4.036,9.5812,0.0036512
4.036,10.654,0.0036507
4.036,11.879,0.0036501
4.036,13.189,0.0036494
4.036,14.536,0.0036486
4.036,15.884,0.0036476
4.036,17.205,0.0036467
4.036,18.478,0.0036457
4.036,19.685,0.0036447
4.036,20.812,0.0036437
4.036,21.847,0.0036427
4.036,22.778,0.0036418
4.036,23.598,0.003641
4.036,24.298,0.0036403
